Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
1, , , , , , , , ,84
2,4,9,190.9, , , , , ,84
3,7,17,197.0, , , , , ,85
4,10,26,214.6, , , , , ,86
5,13,36,244.9,72,64.2, ,181,20.0,88
6,16,45,234.9,83,64.2,161,176,20.2,88
7,19,54,220.3,76,66.4,166,174,19.4,88
8,22,63,229.5,71,67.1,170,173,19.3,89
9,25,72,235.6,76,68.4,166,172,19.9,90
10,28,82,253.1,80,72.4,163,171,20.4,90
11,30,88,246.5,100,73.8,151,169,23.6,91
12,33,98,274.8,90,75.6,157,168,21.8,91
13,36,107,256.5,94,76.6,154,167,20.6,92
14,39,117,243.8,87,77.2,159,166,20.4,94
15,42,126,252.8,82,77.5,162,165,20.2,95
16,45,135,246.4,82,77.8,162,165,19.3,96
17,48,145,246.3,83,77.8,161,165,20.2,96
18,51,154,272.2,86,78.2,159,164,20.9,96
19,54,164,261.8,93,78.9,155,164,20.4,97
20,57,173,272.1,86,79.6,159,164,19.7,98
21,60,183,290.8,92,80.1,156,163,20.2,99
22,63,193,282.5,96,81.3,153,163,19.7,100
23,66,202,280.8,92,81.3,156,162,19.4,101
24,69,212,287.8,96,82.0,153,162,20.5,102
25,72,222,278.8,96,82.7,153,162,20.0,103
26,75,232,286.8,96,83.1,153,161,20.6,104
27,78,241,277.6,96,83.8,153,161,20.0,104
28,81,251,268.5,89,84.0,157,160,19.2,104
29,84,261,294.3,91,84.2,156,160,20.3,105
30,87,270,289.0,95,84.9,154,160,19.4,107
31,90,280,280.8,92,85.1,156,160,19.1,107
32,93,290,299.3,92,85.5,156,160,19.6,107
33,95,300,309.2,99,86.0,152,160,19.8,106
34,99,310,301.6,103,86.5,150,159,19.9,106
35,102,320,321.2,101,87.1,151,159,20.0,108
36,105,330,320.4,111,87.7,146,159,20.6,109
37,108,340,278.0,105,87.8,149,159,19.6,110
38,111,349,273.3,92,87.9,156,159,19.9,110
39,114,359,286.3,89,88.0,157,159,19.5,110
40,117,369,287.3,94,88.2,154,158,19.8,110
41,120,378,280.9,96,88.4,153,158,20.0,110
42,123,388,295.1,92,88.4,156,158,19.6,110
43,126,398,280.0,93,88.5,155,158,18.8,110
44,129,408,298.7,95,89.0,154,158,20.3,111
45,132,418,284.1,108,89.2,147,157,21.7,111
46,135,427,271.1,99,89.2,152,157,20.9,111
47,138,437,278.5,93,89.2,155,157,20.6,111
48,141,447,293.3,95,89.4,154,157,20.4,111
49,144,456,274.1,99,89.6,152,157,20.2,112
50,147,466,275.2,94,89.7,154,157,20.4,112
51,150,476,293.2,91,89.9,156,157,19.8,112
52,153,485,287.5,98,90.0,152,157,20.0,113
53,156,495,274.1,99,90.1,152,157,20.6,113
54,159,504,271.0,93,90.1,155,157,20.4,112
55,162,514,275.9,92,90.2,156,157,20.4,113
56,165,523,256.1,90,90.1,157,157,19.5,114
57,168,533,280.3,85,90.2,160,157,20.0,115
58,171,543,277.1,95,90.3,154,157,20.3,115
59,173,550,265.5,97,90.3,153,157,20.9,115
60,176,560,277.3,92,90.4,156,157,20.6,115
