Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2373.1,0,12:29.0,02:38.2,3.16,00:00.0,0,22,255,9.3,0,---,---,---,---,---,---,---,---,---,---,51.451923,-2.5521974
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5.7,0,00:04.1,11:06.6,0.75,00:00.0,0,14.5,1,5.7,0,---,---,---,---,---,---,---,---,---,---,51.451923,-2.5521974
1,14.9,0,00:07.3,04:03.9,2.05,00:00.0,0,19,2,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4519758,-2.5520949
1,25.1,0,00:10.5,02:52.4,2.9,00:00.0,0,19.5,3,10.2,0,---,---,---,---,---,---,---,---,---,---,51.4520337,-2.5519811
1,35.1,0,00:13.5,02:38.2,3.16,00:00.0,0,20,4,10,0,---,---,---,---,---,---,---,---,---,---,51.452089,-2.5518675
1,44.7,0,00:16.3,02:34.3,3.24,00:00.0,0,20.5,5,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4521428,-2.5517611
1,54.8,0,00:19.3,02:32.9,3.27,00:00.0,0,21,6,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4522018,-2.5516503
1,64.2,0,00:22.1,02:31.0,3.31,00:00.0,0,20.5,7,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4522598,-2.5515507
1,74.1,0,00:25.1,02:29.2,3.35,00:00.0,0,20.5,8,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4523244,-2.5514525
1,83.4,0,00:27.9,02:29.7,3.34,00:00.0,0,21,9,9.3,0,---,---,---,---,---,---,---,---,---,---,51.4523865,-2.5513635
1,93.2,0,00:30.9,02:29.7,3.34,00:00.0,0,20,10,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4524526,-2.5512706
1,103.4,0,00:33.9,02:27.4,3.39,00:00.0,0,20,11,10.2,0,---,---,---,---,---,---,---,---,---,---,51.452524,-2.5511777
1,112.8,0,00:36.7,02:27.4,3.39,00:00.0,0,20.5,12,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4525935,-2.5511011
1,123,0,00:39.7,02:26.1,3.42,00:00.0,0,20.5,13,10.2,0,---,---,---,---,---,---,---,---,---,---,51.4526708,-2.551022
1,132.7,0,00:42.5,02:24.0,3.47,00:00.0,0,21,14,9.7,0,---,---,---,---,---,---,---,---,---,---,51.4527416,-2.5509407
1,142,0,00:45.3,02:26.1,3.42,00:00.0,0,21,15,9.3,0,---,---,---,---,---,---,---,---,---,---,51.452806,-2.5508547
1,151.6,0,00:48.1,02:27.9,3.38,00:00.0,0,21,16,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4528705,-2.5507627
1,161.5,0,00:50.9,02:24.9,3.45,00:00.0,0,21,17,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4529354,-2.5506655
1,171.9,0,00:53.9,02:22.8,3.5,00:00.0,0,21,18,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4530042,-2.5505641
1,181.5,0,00:56.5,02:20.4,3.56,00:00.0,0,22.5,19,9.6,0,---,---,---,---,---,---,---,---,---,---,51.453068,-2.5504702
1,191.3,0,00:59.3,02:16.2,3.67,00:00.0,0,22,20,9.8,0,---,---,---,---,---,---,---,---,---,---,51.453131,-2.5503715
