index, lapIdx, Horizontal (meters),Distance (IMP),TimeStamp (sec), Stroke500mPace (sec/500m),GPS Speed,Split (IMP),Speed (IMP), Cadence (stokes/min),Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP), HRCur (bpm), Power (watts),catch,slip,finish,wash, AverageDriveForce (lbs),driveenergy, PeakDriveForce (lbs),peakforceangle, latitude, longitude,GPSSpeed,GPSDistance,ImpellerSpeed,ImpellerDistance,cum_dist, ElapsedTime (sec), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0.0,5.7,0,1712906423.313431,666.6666666666666,0.75,,0,14.5,1,5.7,0,,,,,,,,,,,51.451923,-2.5521974,0.75,5.7,0,0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.75,,,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,0.0,14.9,0,1712906426.513431,243.90243902439028,2.05,,0,19.0,2,9.2,0,,,,,,,,,,,51.4519758,-2.5520949,2.05,14.9,0,0,14.9,3.200000047683716,0.0,0.0,0.0,0.0,0.0,2.05,,,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,0.0,25.1,0,1712906429.7134311,172.41379310344828,2.9,,0,19.5,3,10.2,0,,,,,,,,,,,51.4520337,-2.5519811,2.9,25.1,0,0,25.1,6.400000095367432,0.0,0.0,0.0,0.0,0.0,2.9,,,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,0.0,35.1,0,1712906432.7134311,158.2278481012658,3.16,,0,20.0,4,10.0,0,,,,,,,,,,,51.452089,-2.5518675,3.16,35.1,0,0,35.1,9.400000095367432,0.0,0.0,0.0,0.0,0.0,3.16,,,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,0.0,44.7,0,1712906435.513431,154.320987654321,3.24,,0,20.5,5,9.5,0,,,,,,,,,,,51.4521428,-2.5517611,3.24,44.7,0,0,44.7,12.200000047683716,0.0,0.0,0.0,0.0,0.0,3.24,,,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,0.0,54.8,0,1712906438.513431,152.9051987767584,3.27,,0,21.0,6,10.1,0,,,,,,,,,,,51.4522018,-2.5516503,3.27,54.8,0,0,54.8,15.200000047683716,0.0,0.0,0.0,0.0,0.0,3.2700000000000005,,,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,0.0,64.2,0,1712906441.313431,151.05740181268882,3.31,,0,20.5,7,9.4,0,,,,,,,,,,,51.4522598,-2.5515507,3.31,64.2,0,0,64.2,18.0,0.0,0.0,0.0,0.0,0.0,3.31,,,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,0.0,74.1,0,1712906444.313431,149.2537313432836,3.35,,0,20.5,8,9.9,0,,,,,,,,,,,51.4523244,-2.5514525,3.35,74.1,0,0,74.1,21.0,0.0,0.0,0.0,0.0,0.0,3.3499999999999996,,,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,0.0,83.4,0,1712906447.1134312,149.7005988023952,3.34,,0,21.0,9,9.3,0,,,,,,,,,,,51.4523865,-2.5513635,3.34,83.4,0,0,83.4,23.800000190734863,0.0,0.0,0.0,0.0,0.0,3.3400000000000003,,,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,0.0,93.2,0,1712906450.1134312,149.7005988023952,3.34,,0,20.0,10,9.8,0,,,,,,,,,,,51.4524526,-2.5512706,3.34,93.2,0,0,93.2,26.800000190734863,0.0,0.0,0.0,0.0,0.0,3.3400000000000003,,,1.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
