Session Information:,,,,Device Information:

Name:,JustGo-2440M,,,Name:,Sander's SpeedCoach
Start Time:,07/30/16 10:13am,,,Model:,SpeedCoach GPS Pro
Type:,Just Go,,,Serial:,2136923
System of Units:,Meters/Split500,,,Firmware Version:,2.11
Speed Input:,GPS,,,Profile Version:,0.02
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.26

Session Summary:

Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:14:34.8,2440.3,00:02:59.8,2.78,20.5,141,259

Summary for Session Intervals:

Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:14:34.8,2440.3,00:02:59.8,2.78,20.5,139,259

Session Detail Data:

Interval,Elapsed Time,GPS Distance,GPS Split,GPS Speed,Stroke Rate,Heart Rate,Stroke Count
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:00:03.3,0.0,00:00:00.0,0.00,18,100,1
1,00:00:06.7,0.0,00:00:00.0,0.00,18.5,107,2
1,00:00:09.7,81.0,00:00:00.0,0.00,20,114,3
1,00:00:12.7,97.3,00:00:00.0,0.00,20,118,4
1,00:00:15.7,106.2,00:00:00.0,0.00,20,121,5
1,00:00:18.5,108.7,00:00:00.0,0.00,21,124,6
1,00:00:21.4,108.7,00:05:47.2,1.44,20.5,126,7
1,00:00:29.2,126.9,00:05:47.2,1.44,0,126,7
1,00:00:31.9,130.2,00:03:56.9,2.11,22.5,123,8
1,00:00:34.5,133.4,00:07:14.7,1.15,21,120,9
1,00:00:37.9,139.3,00:06:07.6,1.36,18,118,10
1,00:00:40.9,145.8,00:04:07.5,2.02,19.5,118,11
1,00:00:44.1,153.6,00:03:13.0,2.59,20,122,12
1,00:00:46.9,160.8,00:02:51.8,2.91,20.5,126,13
1,00:00:54.7,177.8,00:02:51.8,2.91,0,129,13
1,00:00:56.5,180.7,00:03:35.5,2.32,33.5,124,14
1,00:00:57.1,182.0,00:03:58.0,2.10,50,124,15
1,00:01:00.3,190.9,00:03:13.0,2.59,20,125,16
1,00:01:03.3,199.9,00:03:00.5,2.77,19.5,128,17
1,00:01:06.3,209.3,00:02:48.9,2.96,20.5,129,18
1,00:01:09.3,218.8,00:02:43.3,3.06,20,131,19
1,00:01:12.3,228.3,00:02:39.7,3.13,20,133,20
1,00:01:15.3,237.6,00:02:41.2,3.10,20,136,21
1,00:01:18.3,247.4,00:02:40.7,3.11,20,137,22
1,00:01:21.3,256.8,00:02:39.7,3.13,20,137,23
1,00:01:24.5,266.7,00:02:41.2,3.10,19.5,137,24
1,00:01:27.5,276.1,00:02:42.3,3.08,19.5,139,25
1,00:01:30.5,285.3,00:02:44.4,3.04,20,139,26
1,00:01:33.5,294.9,00:02:42.3,3.08,19.5,140,27
1,00:01:36.5,304.4,00:02:39.7,3.13,20,140,28
1,00:01:39.5,313.8,00:02:40.7,3.11,20.5,140,29
1,00:01:42.5,323.3,00:02:40.7,3.11,20,140,30
1,00:01:45.3,332.3,00:02:40.7,3.11,20.5,141,31
1,00:01:48.3,342.0,00:02:40.2,3.12,21,140,32
1,00:01:51.1,351.2,00:02:37.2,3.18,21,140,33
