Interval,Type,Distance(m),Time,Stroke,Rate,Speed(m/s),Split,Time(sec),Split(sec),HR
1,D,20,0:00:17.0,3,12.6,1.175,7:05.4,17.0,425.4,116
2,D,40,0:00:51.5,8,12.2,0.580,14:22.1,51.5,862.1,111
3,D,60,0:01:11.1,12,18.5,1.020,8:10.2,71.1,490.2,118
4,D,80,0:01:19.5,14,18.3,2.375,3:30.6,79.5,210.6,129
5,D,100,0:01:27.7,17,18.8,2.429,3:25.9,87.8,205.9,132
6,D,120,0:01:34.9,19,20.3,2.770,3:00.5,95.0,180.5,135
7,D,140,0:01:41.0,22,25.7,3.291,2:31.10,101.1,152.0,140
8,D,160,0:01:46.3,25,27.1,3.754,2:13.2,106.4,133.2,146
9,D,180,0:01:51.8,27,27.7,3.689,2:15.6,111.8,135.6,152
10,D,200,0:01:57.2,29,27.0,3.678,2:15.10,117.3,136.0,156
11,D,220,0:02:03.0,32,27.2,3.478,2:23.8,123.0,143.8,157
12,D,240,0:02:08.4,35,27.6,3.689,2:15.6,128.4,135.6,158
13,D,260,0:02:14.1,37,27.5,3.469,2:24.2,134.2,144.2,160
14,D,280,0:02:19.4,40,27.8,3.798,2:11.7,139.5,131.7,161
15,D,300,0:02:25.1,42,26.9,3.507,2:22.6,145.2,142.6,162
16,D,320,0:02:30.7,45,26.9,3.606,2:18.7,150.7,138.7,162
17,D,340,0:02:36.6,47,26.3,3.368,2:28.5,156.6,148.5,163
18,D,360,0:02:42.7,50,26.5,3.274,2:32.7,162.8,152.7,164
19,D,380,0:02:48.6,53,25.6,3.404,2:26.9,168.6,146.9,165
20,D,400,0:02:54.6,55,25.3,3.299,2:31.6,174.7,151.6,166
21,D,420,0:03:00.3,58,26.2,3.545,2:21.0,180.3,141.0,166
22,D,440,0:03:06.4,60,25.9,3.257,2:33.5,186.5,153.5,166
23,D,460,0:03:12.6,63,26.3,3.224,2:35.1,192.7,155.1,166
24,D,480,0:03:18.4,66,26.4,3.441,2:25.3,198.5,145.3,166
25,D,500,0:03:24.6,68,27.1,3.232,2:34.7,204.7,154.7,167
26,D,520,0:03:30.8,71,25.8,3.232,2:34.7,210.9,154.7,167
27,D,540,0:03:36.9,74,25.9,3.291,2:31.10,216.9,152.0,167
28,D,560,0:03:43.3,76,25.1,3.107,2:40.10,223.4,161.0,168
29,D,580,0:03:49.5,79,25.3,3.224,2:35.1,229.6,155.1,168
30,D,600,0:03:55.5,81,26.0,3.351,2:29.2,235.6,149.2,169
31,D,620,0:04:01.6,84,26.1,3.265,2:33.1,241.7,153.1,169
32,D,640,0:04:07.6,87,25.6,3.324,2:30.4,247.7,150.4,168
33,D,660,0:04:13.6,89,26.0,3.342,2:29.6,253.7,149.6,169
34,D,680,0:04:19.5,92,25.7,3.377,2:28.1,259.6,148.1,168
35,D,700,0:04:25.5,94,25.3,3.386,2:27.7,265.5,147.7,168
36,D,720,0:04:31.5,97,25.1,3.333,2:30.0,271.5,150.0,168
37,D,740,0:04:37.4,99,25.2,3.377,2:28.1,277.4,148.1,169
38,D,760,0:04:43.5,102,25.5,3.240,2:34.3,283.6,154.3,169
39,D,780,0:04:49.3,104,25.4,3.497,2:23.0,289.3,143.0,169
40,D,800,0:04:55.1,107,26.3,3.422,2:26.1,295.2,146.1,169
41,D,820,0:05:00.8,109,26.4,3.488,2:23.4,300.9,143.4,169
42,D,840,0:05:06.9,112,26.8,3.307,2:31.2,306.9,151.2,169
43,D,860,0:05:12.6,115,26.5,3.497,2:23.0,312.7,143.0,170
44,D,880,0:05:18.6,117,27.3,3.333,2:30.0,318.7,150.0,170
45,D,900,0:05:24.5,120,27.3,3.414,2:26.5,324.5,146.5,170
46,D,920,0:05:30.1,123,27.2,3.556,2:20.6,330.1,140.6,170
47,D,940,0:05:35.9,125,26.6,3.469,2:24.2,335.9,144.2,170
48,D,960,0:05:41.4,128,26.7,3.616,2:18.3,341.4,138.3,170
49,D,980,0:05:47.0,130,27.1,3.575,2:19.9,347.0,139.9,170
50,D,1000,0:05:52.5,133,26.7,3.657,2:16.7,352.5,136.7,170
51,D,1020,0:05:58.1,135,27.5,3.516,2:22.2,358.2,142.2,170
52,D,1040,0:06:03.9,138,27.8,3.488,2:23.4,363.9,143.4,171
53,D,1060,0:06:09.3,140,27.2,3.689,2:15.6,369.3,135.6,171
54,D,1080,0:06:14.8,143,27.3,3.616,2:18.3,374.9,138.3,171
55,D,1100,0:06:20.3,145,27.7,3.657,2:16.7,380.3,136.7,172
56,D,1120,0:06:26.1,148,26.8,3.450,2:24.9,386.1,144.9,172
57,D,1140,0:06:31.6,150,26.9,3.606,2:18.7,391.7,138.7,172
58,D,1160,0:06:37.3,153,27.0,3.526,2:21.8,397.4,141.8,172
59,D,1180,0:06:42.7,155,26.9,3.721,2:14.4,402.7,134.4,172
60,D,1200,0:06:48.2,158,27.3,3.606,2:18.7,408.3,138.7,171
61,D,1220,0:06:53.5,160,27.7,3.832,2:10.5,413.5,130.5,171
62,D,1240,0:06:58.7,163,26.8,3.821,2:10.9,418.7,130.9,171
63,D,1260,0:07:04.1,165,26.5,3.689,2:15.6,424.2,135.6,171
64,D,1280,0:07:09.4,167,27.0,3.776,2:12.4,429.5,132.4,172
65,D,1300,0:07:14.7,170,27.0,3.754,2:13.2,434.8,133.2,172
66,D,1320,0:07:19.9,172,27.5,3.867,2:09.3,440.0,129.3,172
67,D,1340,0:07:25.0,175,27.9,3.963,2:06.2,445.0,126.2,172
68,D,1360,0:07:30.4,177,27.5,3.678,2:15.10,450.4,136.0,172
69,D,1380,0:07:35.6,179,27.8,3.821,2:10.9,455.7,130.9,173
