index, Cadence (stokes/min), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), Stroke500mPace (sec/500m),TimeStamp (sec)
0,12.6,0.0,116,20,425.4,1481734606.0
1,12.2,34.5,111,40,862.1,1481734640.5
2,18.5,54.0999999046,118,60,490.2,1481734660.1
3,18.3,62.5,129,80,210.6,1481734668.5
4,18.8,70.7999999523,132,100,205.9,1481734676.8
5,20.3,78.0,135,120,180.5,1481734684.0
6,25.7,84.0999999046,140,140,152.0,1481734690.1
7,27.1,89.4000000954,146,160,133.2,1481734695.4
8,27.7,94.7999999523,152,180,135.6,1481734700.8
9,27.0,100.299999952,156,200,136.0,1481734706.3
10,27.2,106.0,157,220,143.8,1481734712.0
11,27.6,111.400000095,158,240,135.6,1481734717.4
12,27.5,117.200000048,160,260,144.2,1481734723.2
13,27.8,122.5,161,280,131.7,1481734728.5
14,26.9,128.200000048,162,300,142.6,1481734734.2
15,26.9,133.700000048,162,320,138.7,1481734739.7
16,26.3,139.599999905,163,340,148.5,1481734745.6
17,26.5,145.799999952,164,360,152.7,1481734751.8
18,25.6,151.599999905,165,380,146.9,1481734757.6
19,25.3,157.700000048,166,400,151.6,1481734763.7
20,26.2,163.299999952,166,420,141.0,1481734769.3
21,25.9,169.5,166,440,153.5,1481734775.5
22,26.3,175.700000048,166,460,155.1,1481734781.7
23,26.4,181.5,166,480,145.3,1481734787.5
24,27.1,187.700000048,167,500,154.7,1481734793.7
25,25.8,193.900000095,167,520,154.7,1481734799.9
26,25.9,199.900000095,167,540,152.0,1481734805.9
27,25.1,206.400000095,168,560,161.0,1481734812.4
28,25.3,212.599999905,168,580,155.1,1481734818.6
29,26.0,218.599999905,169,600,149.2,1481734824.6
30,26.1,224.700000048,169,620,153.1,1481734830.7
31,25.6,230.700000048,168,640,150.4,1481734836.7
32,26.0,236.700000048,169,660,149.6,1481734842.7
33,25.7,242.599999905,168,680,148.1,1481734848.6
34,25.3,248.5,168,700,147.7,1481734854.5
35,25.1,254.5,168,720,150.0,1481734860.5
36,25.2,260.400000095,169,740,148.1,1481734866.4
37,25.5,266.599999905,169,760,154.3,1481734872.6
38,25.4,272.299999952,169,780,143.0,1481734878.3
39,26.3,278.200000048,169,800,146.1,1481734884.2
40,26.4,283.900000095,169,820,143.4,1481734889.9
41,26.8,289.900000095,169,840,151.2,1481734895.9
42,26.5,295.700000048,170,860,143.0,1481734901.7
43,27.3,301.700000048,170,880,150.0,1481734907.7
44,27.3,307.5,170,900,146.5,1481734913.5
45,27.2,313.099999905,170,920,140.6,1481734919.1
46,26.6,318.900000095,170,940,144.2,1481734924.9
47,26.7,324.400000095,170,960,138.3,1481734930.4
48,27.1,330.0,170,980,139.9,1481734936.0
49,26.7,335.5,170,1000,136.7,1481734941.5
50,27.5,341.200000048,170,1020,142.2,1481734947.2
51,27.8,346.900000095,171,1040,143.4,1481734952.9
52,27.2,352.299999952,171,1060,135.6,1481734958.3
53,27.3,357.900000095,171,1080,138.3,1481734963.9
54,27.7,363.299999952,172,1100,136.7,1481734969.3
55,26.8,369.099999905,172,1120,144.9,1481734975.1
56,26.9,374.700000048,172,1140,138.7,1481734980.7
57,27.0,380.400000095,172,1160,141.8,1481734986.4
58,26.9,385.700000048,172,1180,134.4,1481734991.7
59,27.3,391.299999952,171,1200,138.7,1481734997.3
60,27.7,396.5,171,1220,130.5,1481735002.5
61,26.8,401.700000048,171,1240,130.9,1481735007.7
62,26.5,407.200000048,171,1260,135.6,1481735013.2
63,27.0,412.5,172,1280,132.4,1481735018.5
64,27.0,417.799999952,172,1300,133.2,1481735023.8
65,27.5,423.0,172,1320,129.3,1481735029.0
66,27.9,428.0,172,1340,126.2,1481735034.0
67,27.5,433.400000095,172,1360,136.0,1481735039.4
68,27.8,438.700000048,173,1380,130.9,1481735044.7
69,27.6,444.299999952,173,1400,140.2,1481735050.3
70,27.0,449.5,173,1420,129.3,1481735055.5
71,26.7,454.5,173,1440,126.2,1481735060.5
72,27.0,459.900000095,173,1460,136.0,1481735065.9
73,26.6,465.200000048,174,1480,130.9,1481735071.2
74,27.2,470.400000095,174,1500,130.5,1481735076.4
75,26.7,475.799999952,174,1520,135.6,1481735081.8
76,26.9,481.299999952,174,1540,136.0,1481735087.3
77,27.0,486.900000095,175,1560,140.2,1481735092.9
78,26.8,492.400000095,175,1580,138.3,1481735098.4
79,26.4,498.200000048,175,1600,145.3,1481735104.2
80,26.5,504.099999905,175,1620,148.1,1481735110.1
