index,Interval,Type, Horizontal (meters),Time,Stroke, Cadence (stokes/min),Speed(m/s),Split,TimeStamp (sec), Stroke500mPace (sec/500m), HRCur (bpm), ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1,D,20.0,0:00:17.0,3,12.6,1.175,7:05.4,1712902834.161661,425.4,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1753643629525155,0.0,0.0,0.0,0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,2,D,40.0,0:00:51.5,8,12.2,0.58,14:22.1,1712902868.661661,862.1,111.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5799791207516529,0.0,0.0,0.0,0,1.0,4.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,3,D,60.0,0:01:11.1,12,18.5,1.02,8:10.2,1712902888.2616608,490.2,118.0,54.09999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0199918400652794,0.0,0.0,0.0,0,1.0,4.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,60.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,4,D,80.0,0:01:19.5,14,18.3,2.375,3:30.6,1712902896.661661,210.6,129.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3741690408357075,0.0,0.0,0.0,0,1.0,4.0,22,0.0,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,80.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,5,D,100.0,0:01:27.7,17,18.8,2.429,3:25.9,1712902904.9616609,205.9,132.0,70.79999995231628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4283632831471587,0.0,0.0,0.0,0,1.0,4.0,25,0.0,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,100.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,6,D,120.0,0:01:34.9,19,20.3,2.77,3:00.5,1712902912.161661,180.5,135.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.770083102493075,0.0,0.0,0.0,0,1.0,4.0,27,0.0,135.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,120.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,7,D,140.0,0:01:41.0,22,25.7,3.291,2:31.10,1712902918.2616608,152.0,140.0,84.09999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289473684210526,0.0,0.0,0.0,0,1.0,4.0,30,0.0,140.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,140.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,8,D,160.0,0:01:46.3,25,27.1,3.754,2:13.2,1712902923.561661,133.2,146.0,89.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.753753753753754,0.0,0.0,0.0,0,1.0,4.0,32,0.0,0.0,146.0,146.0,0.0,0.0,0.0,142,146,160,167,180,192,160.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,9,D,180.0,0:01:51.8,27,27.7,3.689,2:15.6,1712902928.9616609,135.6,152.0,94.79999995231628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6873156342182893,0.0,0.0,0.0,0,1.0,4.0,35,0.0,0.0,0.0,152.0,0.0,0.0,0.0,142,146,160,167,180,192,180.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,10,D,200.0,0:01:57.2,29,27.0,3.678,2:15.10,1712902934.4616609,136.0,156.0,100.29999995231628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.676470588235294,0.0,0.0,0.0,0,1.0,4.0,37,0.0,0.0,0.0,156.0,0.0,0.0,0.0,142,146,160,167,180,192,200.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
