TimeStamp (sec), activityIdx, lapIdx, pointIdx, ElapsedTime (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (stokes/min), HRCur (bpm), Power (watts), Calories (kCal), Speed (m/sec), StrokeCount, StrokeDistance (meters), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), WorkPerStroke (joules), AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor
1463751686.96239, 0, 0, 0, 2.8, 5.4, 262.89, 0, 127, 19, 0, 1.905, 1, 1.83, 0.77, 960, 1580, 0, 23, 47, 0
1463751690.20054, 0, 0, 1, 6.06, 13.1, 239.41, 19, 127, 26, 0, 2.092, 2, 6.52, 1.36, 1410, 1750, 0, 42.4, 67.4, 100
1463751693.11068, 0, 0, 2, 8.93, 21, 199.12, 20, 128, 45, 0, 2.517, 3, 7.44, 1.3, 1060, 1750, 0, 43.9, 69.8, 106
1463751696.23139, 0, 0, 3, 12.08, 30.3, 176.45, 20, 129, 64, 1, 2.841, 4, 8.32, 1.3, 970, 1870, 0, 45.2, 72.5, 105
1463751699.11457, 0, 0, 4, 14.95, 39, 168.51, 20, 130, 74, 1, 2.975, 5, 8.8, 1.27, 920, 1790, 0, 46.5, 72.8, 105
1463751702.11066, 0, 0, 5, 17.93, 48.2, 163.97, 21, 131, 80, 2, 3.058, 6, 8.8, 1.3, 920, 1890, 0, 45.4, 72.7, 105
1463751705.1113, 0, 0, 6, 20.92, 57.6, 162.09, 20, 131, 83, 2, 3.094, 7, 9.16, 1.33, 900, 1900, 0, 49.8, 79.8, 105
1463751707.87064, 0, 0, 7, 23.72, 66.4, 159.77, 20, 132, 87, 3, 3.139, 8, 9.22, 1.27, 860, 1900, 0, 48.2, 75.3, 105
1463751710.7814, 0, 0, 8, 26.63, 75.5, 160.14, 21, 132, 86, 3, 3.131, 9, 9.15, 1.3, 880, 1860, 0, 48.4, 75.9, 105
1463751713.9049, 0, 0, 9, 29.62, 85.1, 158.98, 20, 132, 88, 4, 3.154, 10, 9.29, 1.33, 890, 1810, 0, 52.8, 85.8, 105
1463751716.60206, 0, 0, 10, 32.45, 95, 152.48, 21, 132, 100, 4, 3.289, 11, 9.36, 1.39, 860, 1780, 0, 73, 119.6, 105
1463751719.33239, 0, 0, 11, 35.19, 105, 140.88, 22, 133, 127, 5, 3.561, 12, 9.92, 1.42, 820, 1780, 0, 70.6, 117.2, 105
1463751722.15066, 0, 0, 12, 38.01, 115.3, 137.94, 21, 134, 135, 5, 3.637, 13, 10.28, 1.39, 790, 1840, 0, 70.3, 119.1, 105
1463751724.97069, 0, 0, 13, 40.82, 125.8, 136.53, 21, 135, 139, 6, 3.675, 14, 10.28, 1.39, 780, 1820, 0, 76, 136.9, 105
1463751727.85138, 0, 0, 14, 43.7, 136.6, 134.22, 21, 136, 146, 6, 3.739, 15, 10.49, 1.39, 770, 1810, 0, 75.4, 129.5, 105
1463751730.64129, 0, 0, 15, 46.5, 147.2, 133.17, 22, 137, 150, 7, 3.768, 16, 10.49, 1.42, 780, 1830, 0, 76.9, 135.3, 105
1463751733.43153, 0, 0, 16, 49.29, 157.6, 132.44, 22, 139, 152, 7, 3.789, 17, 10.49, 1.36, 750, 1850, 0, 71.8, 120.3, 105
1463751736.1614, 0, 0, 17, 51.99, 167.8, 134.47, 21, 140, 146, 8, 3.732, 18, 10.41, 1.36, 750, 1760, 0, 74.8, 132.1, 105
1463751738.92547, 0, 0, 18, 54.79, 178.5, 133.24, 22, 140, 150, 9, 3.766, 19, 10.19, 1.39, 760, 1860, 0, 81, 144.8, 105
1463751741.62073, 0, 0, 19, 57.47, 188.5, 131.75, 21, 141, 155, 9, 3.809, 20, 10.63, 1.36, 750, 1860, 0, 72.1, 123.9, 105
1463751744.50119, 0, 0, 20, 60.33, 199.3, 133.86, 21, 141, 148, 10, 3.749, 21, 10.48, 1.39, 770, 1810, 0, 76, 132, 105
1463751747.23218, 0, 0, 21, 63.01, 209.4, 132.89, 22, 142, 151, 11, 3.776, 22, 10.34, 1.36, 740, 1750, 0, 75.9, 132.2, 105
1463751749.81074, 0, 0, 22, 65.66, 219.4, 132.84, 22, 142, 151, 11, 3.777, 23, 10.14, 1.36, 750, 1750, 0, 73.7, 120.8, 105
1463751752.69194, 0, 0, 23, 68.55, 230.2, 133.71, 22, 143, 148, 12, 3.753, 24, 10.34, 1.36, 750, 1840, 0, 74.8, 129.1, 105
1463751755.36079, 0, 0, 24, 71.21, 240.2, 134, 22, 144, 147, 12, 3.745, 25, 10.42, 1.36, 750, 1710, 0, 75.7, 128.7, 105
1463751758.00075, 0, 0, 25, 73.84, 250.1, 133.1, 23, 145, 150, 13, 3.77, 26, 9.93, 1.33, 730, 1710, 0, 74.8, 134.2, 105
1463751760.46164, 0, 0, 26, 76.33, 259.6, 132.67, 23, 145, 152, 13, 3.782, 27, 9.92, 1.33, 720, 1710, 0, 76.6, 132.2, 105
1463751763.31146, 0, 0, 27, 79.17, 270.3, 132.42, 23, 145, 152, 14, 3.789, 28, 9.92, 1.33, 730, 1800, 0, 73.2, 127.3, 105
1463751766.04146, 0, 0, 28, 81.91, 280.6, 133.29, 22, 145, 149, 15, 3.765, 29, 10.27, 1.36, 740, 1810, 0, 76.8, 135.1, 105
1463751768.71528, 0, 0, 29, 84.58, 290.7, 133.16, 22, 144, 150, 15, 3.768, 30, 10.27, 1.33, 730, 1740, 0, 74.7, 133.4, 105
1463751771.41474, 0, 0, 30, 87.27, 300.8, 133.33, 23, 145, 149, 16, 3.764, 31, 9.99, 1.33, 730, 1780, 0, 76.8, 133.7, 105
1463751774.14502, 0, 0, 31, 89.95, 311.1, 132.5, 22, 145, 152, 17, 3.787, 32, 10.27, 1.36, 740, 1760, 0, 80.4, 148.7, 105
1463751776.7518, 0, 0, 32, 92.62, 321.2, 131.22, 22, 145, 157, 17, 3.824, 33, 10.2, 1.33, 720, 1760, 0, 75.7, 132.3, 105
1463751779.63428, 0, 0, 33, 95.46, 331.9, 133.06, 21, 145, 150, 18, 3.771, 34, 10.55, 1.36, 740, 1800, 0, 76.5, 137.6, 105
1463751782.30125, 0, 0, 34, 98.15, 342, 132.83, 22, 146, 151, 18, 3.778, 35, 10.34, 1.36, 740, 1750, 0, 75.3, 130.2, 105
1463751785.03088, 0, 0, 35, 100.88, 352.4, 132.86, 22, 146, 151, 19, 3.777, 36, 10.13, 1.36, 740, 1800, 0, 76.7, 133.1, 105
1463751787.82501, 0, 0, 36, 103.66, 363, 132.14, 22, 146, 153, 20, 3.798, 37, 10.34, 1.36, 740, 1850, 0, 78, 139.7, 105
1463751790.58089, 0, 0, 37, 106.41, 373.4, 132.41, 22, 147, 152, 20, 3.79, 38, 10.55, 1.36, 740, 1820, 0, 78.1, 133.2, 105
1463751793.34155, 0, 0, 38, 109.18, 383.9, 132.26, 22, 147, 153, 21, 3.794, 39, 10.49, 1.39, 760, 1820, 0, 75.9, 139.2, 105
1463751796.19159, 0, 0, 39, 112.05, 394.6, 132.68, 22, 147, 152, 21, 3.782, 40, 10.42, 1.36, 750, 1910, 0, 75.1, 129.1, 105
1463751798.92554, 0, 0, 40, 114.78, 405, 133.54, 21, 147, 149, 22, 3.758, 41, 10.77, 1.39, 760, 1800, 0, 78.8, 141.1, 105
1463751801.65488, 0, 0, 41, 117.5, 415.3, 132.57, 22, 148, 152, 23, 3.785, 42, 10.34, 1.36, 740, 1790, 0, 75.1, 131.8, 105
1463751804.59091, 0, 0, 42, 120.33, 426, 132.95, 22, 148, 151, 23, 3.774, 43, 10.27, 1.36, 740, 1900, 0, 77.2, 132.8, 105
1463751807.2916, 0, 0, 43, 123.16, 436.5, 133.31, 21, 148, 149, 24, 3.764, 44, 10.76, 1.39, 770, 1840, 0, 73.3, 128.7, 105
1463751810.11135, 0, 0, 44, 125.87, 446.9, 133.53, 22, 148, 149, 25, 3.758, 45, 10.42, 1.36, 740, 1800, 0, 82.2, 141, 105
1463751812.63096, 0, 0, 45, 128.47, 456.9, 131.28, 22, 149, 156, 25, 3.823, 46, 10.49, 1.39, 750, 1800, 0, 76.3, 143.2, 105
1463751815.45331, 0, 0, 46, 131.31, 467.6, 131.6, 22, 149, 155, 26, 3.813, 47, 10.26, 1.36, 740, 1790, 0, 76.9, 140.5, 105
1463751818.33164, 0, 0, 47, 134.17, 478.5, 131.52, 22, 150, 156, 26, 3.816, 48, 10.48, 1.42, 770, 1920, 0, 79.1, 141.4, 105
1463751821.15162, 0, 0, 48, 136.96, 489, 131.86, 21, 150, 154, 27, 3.806, 49, 10.84, 1.36, 750, 1840, 0, 74, 129.4, 105
1463751823.76125, 0, 0, 49, 139.6, 499.1, 133.6, 21, 150, 148, 28, 3.756, 50, 10.49, 1.39, 770, 1840, 0, 75.9, 138.4, 106
1463751826.67114, 0, 0, 50, 142.51, 510, 132.9, 22, 150, 151, 28, 3.776, 51, 10.43, 1.36, 740, 1840, 0, 79.1, 139.6, 105
1463751829.28098, 0, 1, 0, 145.1, 519.9, 132.3, 22, 149, 153, 29, 3.793, 52, 10.41, 1.33, 720, 1840, 0, 79, 150.8, 105
1463751832.16189, 0, 1, 1, 147.97, 530.6, 132.75, 22, 149, 151, 30, 3.78, 53, 10.34, 1.33, 730, 1820, 0, 74, 127.6, 105
1463751834.83168, 0, 1, 2, 150.68, 540.8, 133.77, 22, 149, 148, 30, 3.751, 54, 10.28, 1.33, 730, 1790, 0, 78.1, 137.3, 106
1463751837.53488, 0, 1, 3, 153.35, 550.8, 133.47, 22, 148, 149, 31, 3.76, 55, 10.22, 1.33, 740, 1740, 0, 69.9, 123.1, 105
1463751840.1748, 0, 1, 4, 156.03, 560.8, 134.81, 22, 148, 144, 31, 3.722, 56, 9.99, 1.36, 750, 1740, 0, 76, 129.1, 105
1463751842.87528, 0, 1, 5, 158.72, 571, 133.39, 22, 147, 149, 32, 3.762, 57, 10.06, 1.36, 750, 1750, 0, 74.9, 137.2, 105
