index,index,TimeStamp (sec), activityIdx, lapIdx, pointIdx, ElapsedTime (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (stokes/min), HRCur (bpm), Power (watts), Calories (kCal), Speed (m/sec), StrokeCount, StrokeDistance (meters), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), WorkPerStroke (joules), AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor,cum_dist, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,0,1463744486.0,0,0,0,2.8,5.4,262.89,0.0,127.0,19.0,0.0,1.905,1,1.83,0.77,960.0,1580.0,0,23.0,47.0,0.0,5.4,1.9019361710221006,102.30906,209.06634,4.0,0,inf,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,19.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1,1463744489.24,0,0,1,6.06,13.1,239.41,19.0,127.0,26.0,0.0,2.092,2,6.52,1.36,1410.0,1750.0,0,42.4,67.4,100.0,13.1,2.0884674825612963,188.604528,299.81002800000005,4.0,1,82.10526315789474,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,26.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,2,1463744492.15,0,0,2,8.93,21.0,199.12,20.0,128.0,45.0,0.0,2.517,3,7.44,1.3,1060.0,1750.0,0,43.9,69.8,106.0,21.0,2.511048613901165,195.276858,310.485756,4.0,1,135.0,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,45.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,3,1463744495.27,0,0,3,12.08,30.3,176.45,20.0,129.0,64.0,1.0,2.841,4,8.32,1.3,970.0,1870.0,0,45.2,72.5,105.0,30.3,2.8336639274582036,201.05954400000002,322.49595,4.0,3,192.0,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,64.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,4,1463744498.15,0,0,4,14.95,39.0,168.51,20.0,130.0,74.0,1.0,2.975,5,8.8,1.27,920.0,1790.0,0,46.5,72.8,105.0,39.0,2.967182956501098,206.84223,323.830416,4.0,3,222.0,130.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,74.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,5,1463744501.15,0,0,5,17.93,48.2,163.97,21.0,131.0,80.0,2.0,3.058,6,8.8,1.3,920.0,1890.0,0,45.4,72.7,105.0,48.2,3.049338293590291,201.949188,323.385594,4.0,5,228.57142857142858,131.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,80.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,6,1463744504.15,0,0,6,20.92,57.6,162.09,20.0,131.0,83.0,2.0,3.094,7,9.16,1.33,900.0,1900.0,0,49.8,79.8,105.0,57.6,3.0847060275155775,221.521356,354.967956,4.0,6,249.0,131.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,83.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,7,1463744506.91,0,0,7,23.72,66.4,159.77,20.0,132.0,87.0,3.0,3.139,8,9.22,1.27,860.0,1900.0,0,48.2,75.3,105.0,66.4,3.1294986543155785,214.40420400000002,334.950966,4.0,6,261.0,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,87.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,8,1463744509.82,0,0,8,26.63,75.5,160.14,21.0,132.0,86.0,3.0,3.131,9,9.15,1.3,880.0,1860.0,0,48.4,75.9,105.0,75.5,3.1222680154864495,215.293848,337.61989800000003,4.0,7,245.71428571428572,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,86.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,9,1463744512.94,0,0,9,29.62,85.1,158.98,20.0,132.0,88.0,4.0,3.154,10,9.29,1.33,890.0,1810.0,0,52.8,85.8,105.0,85.1,3.1450496917851303,234.866016,381.65727599999997,4.0,9,264.0,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,88.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
