TimeStamp (sec), activityIdx, lapIdx, pointIdx, ElapsedTime (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (stokes/min), HRCur (bpm), Power (watts), Calories (kCal), Speed (m/sec), StrokeCount, StrokeDistance (meters), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), WorkPerStroke (joules), AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor
1463751980.48204,0,2,7,296.31,1097.5,135.9,21,155,141,64,3.692,107,10.78,1.33,740,2060,0,83.4,139.7,105
1463751983.42202,0,2,8,299.27,1108.5,134.4,20,155,146,65,3.733,108,11.19,1.36,750,2010,0,78,134.6,105
1463751986.30127,0,2,9,302.13,1119.2,135.34,20,155,143,65,3.707,109,10.98,1.36,750,2010,0,78.1,137.1,105
1463751989.42192,0,2,10,305.24,1130.6,135.35,20,155,143,66,3.707,110,10.99,1.36,760,2050,0,79.5,135.4,105
1463751992.36398,0,2,11,308.12,1141.3,135.34,20,155,143,67,3.707,111,11.05,1.33,740,1960,0,78.7,138.3,105
1463751995.30195,0,2,12,311.13,1152.4,135.46,21,155,142,67,3.704,112,10.69,1.33,740,2070,0,77,131.4,105
1463751998.27184,0,2,13,314.09,1163.3,136.71,20,155,138,68,3.67,113,11.04,1.33,740,2030,0,78.8,138.7,105
1463752001.06131,0,2,14,316.89,1173.8,136,20,154,141,69,3.69,114,10.98,1.36,750,2030,0,81.2,146.7,105
1463752004.00234,0,2,15,319.82,1184.8,134.28,21,154,146,69,3.737,115,10.83,1.36,750,1960,0,80.1,141.3,105
1463752007.00188,0,2,16,322.82,1195.8,134.32,21,153,146,70,3.736,116,10.9,1.33,740,1960,0,76.1,130.8,105
1463752009.94202,0,2,17,325.73,1206.6,135.75,21,152,141,70,3.696,117,10.76,1.36,760,1960,0,76,134,105
1463752012.91198,0,2,18,328.64,1217.3,135.86,21,153,141,71,3.693,118,10.76,1.36,760,1950,0,74.5,138.6,105
1463752015.67198,0,2,19,331.5,1227.8,136.31,21,152,140,72,3.681,119,10.7,1.36,760,1910,0,74.9,134.9,105
1463752018.5521,0,2,20,334.38,1238.7,135.4,21,152,143,72,3.706,120,10.55,1.36,740,1940,0,83.9,150,105
1463752021.46551,0,2,21,337.31,1249.5,133.47,21,151,149,73,3.759,121,10.76,1.33,740,1980,0,73.8,133.9,105
1463752024.37134,0,2,22,340.19,1260.1,135.95,20,151,141,74,3.691,122,10.84,1.36,760,1950,0,75.7,145.7,105
1463752027.2858,0,2,23,343.09,1270.9,135.78,21,151,141,74,3.695,123,10.7,1.36,750,1950,0,79,133.7,105
1463752030.19206,0,2,24,346.01,1281.8,134.69,21,150,145,75,3.725,124,10.7,1.33,730,2000,0,77.6,133.2,105
1463752033.16135,0,2,25,348.98,1292.7,135.52,20,151,142,76,3.703,125,10.9,1.36,760,2000,0,76.9,138,105
1463752036.04232,0,2,26,351.88,1303.4,135.89,20,151,141,76,3.692,126,10.97,1.39,780,1950,0,74.6,128.7,105
1463752038.95205,0,2,27,354.78,1314.3,135.79,21,151,141,77,3.695,127,10.7,1.36,760,1960,0,80.5,134.4,105
1463752041.92207,0,2,28,357.74,1325.2,134.32,21,151,146,78,3.736,128,10.76,1.33,740,2030,0,77.6,140.2,104
1463752044.83212,0,2,29,360.65,1336.1,135.28,20,152,143,78,3.709,129,11.03,1.36,750,1950,0,78.3,136.7,105
1463752047.74536,0,2,30,363.57,1346.9,134.82,21,152,144,79,3.722,130,10.84,1.39,770,1980,0,75.5,137.3,105
1463752050.6513,0,2,31,366.43,1357.4,135.8,20,152,141,79,3.695,131,10.84,1.36,760,1900,0,72.1,123.7,105
1463752053.50196,0,2,32,369.34,1368.1,136.8,21,152,138,80,3.668,132,10.42,1.33,750,1960,0,77,132.7,105
1463752056.41211,0,2,33,372.25,1379,135.59,20,152,142,81,3.701,133,10.83,1.39,770,1930,0,79.2,137.2,105
1463752059.29147,0,2,34,375.11,1389.5,134.69,21,153,145,81,3.725,134,10.62,1.3,720,1960,0,72.7,127.2,105
1463752062.11135,0,2,35,377.94,1399.9,136.99,21,152,138,82,3.663,135,10.62,1.33,750,1960,0,76.3,127.9,105
1463752065.05127,0,2,36,380.87,1410.7,136.7,20,152,139,83,3.67,136,10.9,1.39,780,1990,0,74.4,133.8,105
1463752068.11299,0,2,37,383.95,1422,136.45,20,152,139,83,3.677,137,10.77,1.39,780,1990,0,75.3,131.3,105
1463752070.99214,0,2,38,386.83,1432.8,135.88,20,151,141,84,3.693,138,10.85,1.36,750,1940,0,80.9,140.3,105
1463752073.96124,0,2,39,389.75,1443.6,134.41,21,151,146,85,3.733,139,10.76,1.36,750,1970,0,75.4,128,105
1463752076.84275,0,2,40,392.67,1454.4,135.31,20,152,143,85,3.708,140,10.9,1.39,770,1950,0,76.4,137.5,105
1463752079.75179,0,2,41,395.54,1465.1,135.13,21,151,143,86,3.713,141,10.62,1.3,720,1960,0,80.7,136.6,105
1463752082.60215,0,2,42,398.41,1475.9,134.54,21,152,145,86,3.73,142,10.76,1.33,730,1930,0,82,144.3,105
1463752085.45516,0,2,43,401.29,1486.6,133.68,21,152,148,87,3.754,143,10.7,1.33,730,1970,0,76.4,132,105
1463752088.39192,0,2,44,404.22,1497.4,135.4,21,153,143,88,3.706,144,10.77,1.33,740,1990,0,75.1,129.2,105
1463752091.33566,0,2,45,407.14,1508.2,136.38,20,153,140,88,3.679,145,10.85,1.36,760,1970,0,79.5,139.2,105
1463752094.27189,0,3,0,410.1,1519.2,135.05,20,154,144,89,3.716,146,10.92,1.39,770,1990,0,76.7,135.2,105
1463752097.24196,0,3,1,413.03,1530,135.13,21,154,143,90,3.713,147,10.84,1.33,740,2000,0,77.2,133,105
1463752100.12313,0,3,2,415.96,1540.9,135.78,20,153,141,90,3.695,148,10.97,1.39,770,1960,0,76.2,127.5,105
1463752102.91121,0,3,3,418.72,1551.3,135.13,21,153,143,91,3.713,149,10.76,1.36,750,1960,0,80.3,141.2,105
1463752106.00191,0,3,4,421.78,1562.6,134.35,21,153,146,92,3.735,150,10.76,1.36,760,2000,0,74.5,127.9,105
1463752108.91173,0,3,5,424.71,1573.3,135.91,20,153,141,92,3.692,151,10.91,1.36,760,1980,0,74.1,128.4,105
1463752111.85327,0,3,6,427.64,1584.2,136.45,20,152,139,93,3.677,152,10.77,1.36,760,1980,0,81.1,142,105
1463752114.61118,0,3,7,430.42,1594.6,134.54,21,152,145,94,3.73,153,10.91,1.36,750,1980,0,77.7,137.1,105
1463752117.73244,0,3,8,433.53,1606,135.12,21,152,143,94,3.713,154,10.83,1.36,760,2010,0,73.1,125.6,105
1463752120.46199,0,3,9,436.3,1616.2,136.93,20,152,138,95,3.664,155,10.84,1.33,750,2010,0,75.8,130.9,105
1463752123.52153,0,3,10,439.32,1627.4,136.23,21,152,140,95,3.683,156,10.63,1.36,750,1970,0,80.1,143.6,105
1463752126.40141,0,3,11,442.16,1638,134.93,21,152,144,96,3.719,157,10.84,1.36,760,1970,0,76.8,136.7,105
1463752129.4022,0,3,12,445.21,1649.2,135.32,20,151,143,97,3.708,158,10.85,1.33,740,2020,0,78.9,135.8,105
1463752132.34196,0,3,13,448.16,1660.2,135.38,20,152,143,97,3.706,159,10.92,1.33,740,2020,0,79.3,137.7,105
1463752135.22199,0,3,14,451.04,1670.8,135.72,20,151,142,98,3.697,160,10.97,1.36,760,1910,0,74.8,131.4,105
1463752138.10169,0,3,15,453.92,1681.4,136.14,21,151,140,99,3.686,161,10.55,1.36,760,1950,0,74.8,130.3,105
1463752141.01194,0,3,16,456.82,1692.1,136.14,21,151,140,99,3.686,162,10.76,1.39,780,1930,0,74.5,134.6,105
1463752143.80118,0,3,17,459.62,1702.5,135.8,21,150,141,100,3.695,163,10.63,1.36,760,1930,0,77.1,138.6,105
1463752146.80193,0,3,18,462.61,1713.7,134.96,21,150,144,101,3.718,164,10.77,1.36,750,1940,0,79.6,143.1,105
1463752149.71179,0,3,19,465.52,1724.4,134.43,21,150,146,101,3.733,165,10.7,1.33,740,1980,0,75.8,129,105
1463752152.65193,0,3,20,468.42,1735.1,135.86,20,150,141,102,3.693,166,10.85,1.36,760,1950,0,76.1,136,105
1463752155.50129,0,3,21,471.27,1745.6,136.11,21,150,140,102,3.687,167,10.71,1.36,760,1890,0,74,130.6,105
1463752158.35183,0,3,22,474.16,1756.3,135.87,21,150,141,103,3.693,168,10.42,1.33,740,1960,0,77.9,133.4,105
1463752161.02127,0,3,23,476.83,1766.2,135.73,20,151,142,104,3.697,169,10.84,1.39,780,1960,0,69.4,127.1,105
1463752164.02192,0,3,24,479.83,1777.1,136.94,22,150,138,104,3.664,170,10.2,1.36,760,1900,0,71.9,123.9,105
1463752166.843,0,3,25,482.66,1787.5,136.94,21,150,138,105,3.664,171,10.49,1.36,760,1850,0,74.2,132.3,105
1463752169.57112,0,3,26,485.39,1797.7,136.26,22,150,140,106,3.682,172,10.27,1.33,740,1850,0,75.7,138.2,105
1463752172.54499,0,3,27,488.35,1808.4,136.14,21,150,140,106,3.686,173,10.56,1.33,750,1910,0,71.6,120.1,105
1463752175.24109,0,3,28,491.01,1818.4,136.72,21,149,138,107,3.67,174,10.49,1.36,750,1910,0,80.1,139.4,105
