filename,type,nr_lines,year,month,day,hour,minute,second,dist,seconds,nrintervals,lap 1 time,lap 1 dist,timezone,lap 1 time new,lap 1 dist new,,,,
strava_export.tcx,tcx,1342,2024,11,29,7,18,43,10165,3604,1,3604,10165,UTC,3604,10165,,,,
quiske_per_stroke_new.csv,quiske,139,2022,11,7,7,58,35,930,382,1,382,930,UTC,382,928,,,,
boatcoach_fixed_distance.csv,boatcoach,493,2022,6,13,12,31,37,1996,495,4,109,494,UTC,109,494,,,,
rowpro_carrick.csv,rp,1212,2022,1,19,17,33,0,10023,3608,10,422,1495,UTC,422,1493,,,,
fromnk.csv.gz,nklinklogbook,430,2021,7,7,17,33,28,3005,1062,12,60,250,UTC,60,250,,,,
herodata.csv,hero,300,2021,4,26,13,37,33,3512,896,1,896,3512,UTC,896,3509,,,,
nk_logbook.csv,nklinklogbook,1613,2021,3,30,11,13,4,12155,3901,1,3901,12155,UTC,3901,12155,,,,
SpdCoachAmbiguous.csv,speedcoach2,0,2021,0,0,0,0,0,0,0,0,0,0,UTC,0,0,,,,
rowingdata_eth.csv,eth,45,0,0,0,0,0,0,481,122,1,122,481,UTC,122,469,,,,
spdcoach2noheader.csv,speedcoach2,255,0,0,0,0,0,0,2372,737,1,737,2372,UTC,737,2366,,,,
ritmointervals.csv,ritmotime,1045,2019,4,6,14,22,46,11417,5452,9,1099,1929,UTC,1099,1929,,,,
humon,humon,2935,2019,1,21,7,47,40,769,2934,1,2934,769,UTC,2938,769,,,,
rp3intervals.csv,rowperfect3,855,0,0,0,0,0,0,8829,2758,5,596,2938,UTC,596,2934,,,,
aritmo.csv,ritmotime,581,2018,6,15,15,34,12,7538,3374,1,3374,7538,UTC,3374,7503,,,,
invalidchar.tcx,tcx,0,2018,3,5,17,50,46,5019,1888,7,322,763,UTC,322,761,,,,
bc3.csv,boatcoach,2130,2017,12,10,13,52,51,8726,2461,16,24,86,UTC,24,80,,,,
bc1.csv,boatcoach,3084,2017,12,6,15,24,55,12587,3599,12,297,1056,UTC,297,1049,,,,
EUBoatCoach.csv,boatcoach,3084,2017,12,6,15,24,55,12587,3599,12,297,1056,UTC,297,1049,,,,
quiske_per_stroke_seat.csv,quiske,55,2017,5,21,6,18,0,484,151,1,151,484,UTC,151,482,,,,
quiske_per_stroke_left.csv,quiske,25,2017,5,21,6,33,53,219,57,1,57,219,UTC,57,216,,,,
quiske_per_stroke_right.csv,quiske,33,2017,5,21,6,31,24,315,93,1,93,315,UTC,93,314,,,,
boatcoach.csv.gz,boatcoach,3325,2017,11,3,12,13,32,11895,3600,3,1200,3887,UTC,1200,3882,,,,
davidfit.fit.gz,fit,4609,2017,10,23,18,34,51,38260,4608,1,4608,38260,UTC,4608,38260,,,,
davidfit.fit,fit,4609,2017,10,23,18,34,51,38260,4608,1,4608,38260,UTC,4608,38260,,,,e
NKLiNKv130.csv,speedcoach2,921,2017,10,22,11,11,4,9180,2573,1,2573,9180,UTC,2573,9173,,,,
NKLiNKv130.csv.gz,speedcoach2,921,2017,10,22,11,11,4,9180,2573,1,2573,9180,UTC,2573,9173,,,,
testdata.csv.gz,csv,191,2016,5,20,11,41,26,2000,537,4,139,510,UTC,139,504,,,,
boatcoach_otw.csv.gz,boatcoachotw,4197,2017,9,25,19,22,24,12624,4184,5,4184,12624,UTC,140,88,,,,
boatcoach_otw.csv,boatcoachotw,4197,2017,9,25,19,22,24,12624,4184,5,4184,12624,UTC,140,88,,,,
coxmate.csv.gz,coxmate,147,0,0,0,0,0,0,1005,0,1,0,1005,UTC,0,1005,,,,
coxmate.csv,coxmate,147,0,0,0,0,0,0,1005,0,1,0,1005,UTC,0,1005,,,,
2016-03-25-0758.CSV,c2log,0,0,0,0,0,0,0,0,0,0,0,0,UTC,0,0,,,,
2016-03-25-0758_data.CSV,csv,3266,2016,3,25,6,58,30,10697,3484,1,3484,10697,UTC,3484,10697,,,,
2x20min_o.csv,csv,895,2016,3,31,16,48,29,9812,2458,2,1199,4902,UTC,1199,4902,,,,
3km_cd_o.csv,csv,276,2016,3,31,17,31,2,2996,756,1,756,2996,UTC,756,2996,,,,
3x250m.fit,fit,94,2016,7,28,9,35,29,750,487,3,55,248,UTC,55,245,,,,
boatcoach.csv,boatcoach,119,2016,11,28,8,37,2,499,118,2,58,246,UTC,58,240,,,,
crewnerd_interval.csv.gz,mystery,16388,0,0,0,0,0,0,6007,1641,1,1641,6007,UTC,1641,6007,,,,
crewnerd_interval.csv,mystery,16388,0,0,0,0,0,0,6007,1641,1,1641,6007,UTC,1641,6007,,,,
crewnerddata.CSV,c2log,0,0,0,0,0,0,0,0,0,0,0,0,UTC,0,0,,,,
crewnerddata.tcx.gz,tcx,3377,2016,4,2,8,15,8,10269,3924,3,682,1894,UTC,682,1894,,,,
crewnerddata.tcx,tcx,3377,2016,4,2,8,15,8,10269,3924,3,682,1894,UTC,682,1894,,,,
crewnerddata_o.CSV,csv,3374,2016,4,2,9,15,9,10465,3923,1,3923,10465,UTC,3923,10465,,,,
ergdata_example.csv.gz,ergdata,180,0,0,0,0,0,0,1992,520,1,520,1992,UTC,520,1980,,,,
ergdata_example.csv,ergdata,180,0,0,0,0,0,0,1992,520,1,520,1992,UTC,520,1980,,,,
ergstick.csv.gz,ergstick,2400,0,0,0,0,0,0,4959,1201,3,598,2481,UTC,597,2473,,,,
