TimeStamp (sec), activityIdx, lapIdx, pointIdx, ElapsedTime (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (stokes/min), HRCur (bpm), Power (watts), Calories (kCal), Speed (m/sec), StrokeCount, StrokeDistance (meters), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), WorkPerStroke (joules), AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor
1464972918.47109, 0, 0, 0, 6.47, 7.3, 0, 0, 76, 0, 0, 0, 1, 0.08, 0.08, 0, 0, 0, 0, 0, 0
1464972938.03242, 0, 2, 0, 2.46, 7.4, 183.81, 0, 68, 57, 0, 2.727, 1, 2.67, 1.12, 970, 0, 0, 71.7, 96.3, 0
1464972940.52179, 0, 2, 1, 4.93, 15.7, 155.41, 26, 67, 94, 0, 3.227, 2, 7.56, 1.27, 850, 1330, 0, 87.3, 128.5, 91
1464972942.95259, 0, 2, 2, 7.37, 25, 142.17, 26, 68, 123, 1, 3.529, 3, 8.27, 1.3, 690, 1450, 0, 95.7, 138.4, 93
1464972945.23264, 0, 2, 3, 9.64, 34, 128.85, 27, 71, 165, 1, 3.895, 4, 8.79, 1.21, 600, 1480, 0, 87.1, 131.2, 93
1464972947.48274, 0, 2, 4, 11.92, 43.2, 126.32, 27, 72, 176, 2, 3.973, 5, 8.97, 1.24, 590, 1480, 0, 93, 132.5, 92
1464972949.7328, 0, 2, 5, 14.16, 52.5, 123.97, 26, 74, 186, 2, 4.049, 6, 9.29, 1.3, 610, 1440, 0, 97.7, 142.3, 92
1464972951.86298, 0, 2, 6, 16.29, 61.6, 120.13, 27, 75, 204, 3, 4.179, 7, 9.3, 1.3, 590, 1440, 0, 101.6, 148.2, 92
1464972954.11221, 0, 2, 7, 18.53, 71.2, 117.75, 27, 76, 217, 3, 4.264, 8, 9.56, 1.3, 580, 1470, 0, 105.1, 155.4, 92
1464972956.45242, 0, 2, 8, 20.87, 81.3, 116.2, 27, 77, 226, 4, 4.321, 9, 9.71, 1.33, 590, 1460, 0, 101.5, 148.2, 92
1464972958.76306, 0, 2, 9, 23.2, 91.4, 116.24, 26, 77, 226, 5, 4.319, 10, 10.05, 1.33, 590, 1440, 0, 103.1, 149.5, 92
1464972961.04309, 0, 2, 10, 25.46, 101.3, 115.22, 27, 77, 232, 5, 4.358, 11, 9.71, 1.36, 600, 1460, 0, 103.8, 148.2, 92
1464972963.26359, 0, 2, 11, 27.7, 111.1, 114.61, 27, 77, 236, 6, 4.381, 12, 9.84, 1.33, 580, 1430, 0, 101.5, 150.4, 92
1464972965.36284, 0, 2, 12, 29.77, 120.2, 115.13, 27, 77, 232, 7, 4.361, 13, 9.7, 1.33, 590, 1430, 0, 99.4, 144.6, 92
1464972967.67329, 0, 2, 13, 32.1, 130.3, 115.04, 27, 79, 233, 7, 4.364, 14, 9.63, 1.33, 580, 1420, 0, 105.5, 159.5, 92
1464972969.80262, 0, 2, 14, 34.22, 139.7, 114.27, 27, 82, 238, 8, 4.394, 15, 9.7, 1.33, 580, 1420, 0, 103.3, 154.4, 92
1464972972.11324, 0, 2, 15, 36.55, 150.1, 113.84, 27, 86, 240, 9, 4.411, 16, 9.83, 1.36, 570, 1420, 0, 115.6, 166, 92
1464972974.36273, 0, 2, 16, 38.77, 160.1, 111.58, 27, 93, 255, 10, 4.501, 17, 9.91, 1.36, 560, 1450, 0, 113.2, 163.8, 92
1464972976.55351, 0, 2, 17, 40.97, 169.9, 111.67, 27, 100, 255, 10, 4.497, 18, 10.04, 1.33, 570, 1420, 0, 102.1, 152.4, 92
1464972978.74366, 0, 2, 18, 43.18, 179.7, 113.23, 27, 102, 244, 11, 4.435, 19, 9.76, 1.33, 580, 1410, 0, 103.2, 149.2, 92
1464972980.81287, 0, 2, 19, 45.24, 188.9, 113.42, 27, 105, 243, 12, 4.427, 20, 9.69, 1.36, 570, 1410, 0, 108.3, 162.6, 92
1464972983.1237, 0, 2, 20, 47.54, 199.1, 112.68, 28, 110, 248, 12, 4.457, 21, 9.7, 1.3, 560, 1420, 0, 106.2, 160.7, 92
1464972985.34372, 0, 2, 21, 49.76, 208.9, 113.04, 27, 112, 245, 13, 4.442, 22, 9.77, 1.33, 570, 1440, 0, 105, 152, 92
1464972987.56381, 0, 2, 22, 51.99, 218.8, 113.49, 27, 110, 243, 14, 4.425, 23, 9.77, 1.3, 560, 1440, 0, 105.5, 156.7, 92
