index,TimeStamp (sec), activityIdx, lapIdx, pointIdx, ElapsedTime (sec), Horizontal (meters), Stroke500mPace (sec/500m), Cadence (stokes/min), HRCur (bpm), Power (watts), Calories (kCal), Speed (m/sec), StrokeCount, StrokeDistance (meters), DriveLength (meters), DriveTime (ms), StrokeRecoveryTime (ms), WorkPerStroke (joules), AverageDriveForce (lbs), PeakDriveForce (lbs), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
0,1464972918.47109,0,0,0,6.47,7.3,0.0,0.0,76.0,0.0,0.0,0.0,1,0.08,0.08,0.0,0.0,0,0.0,0.0,0.0,inf,0.0,0.0,4.0,0,,76.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,7.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
1,1464972938.03242,0,2,0,2.46,7.4,183.81,0.0,68.0,57.0,0.0,2.727,1,2.67,1.12,970.0,0.0,0,71.7,96.3,0.0,2.720200206735216,318.93737400000003,428.363586,4.0,0,inf,68.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,7.4,57.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
2,1464972940.52179,0,2,1,4.93,15.7,155.41,26.0,67.0,94.0,0.0,3.227,2,7.56,1.27,850.0,1330.0,0,87.3,128.5,91.0,3.2172961842867256,388.329606,571.59627,4.0,1,216.92307692307693,67.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,15.7,94.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
3,1464972942.95259,0,2,2,7.37,25.0,142.17,26.0,68.0,123.0,1.0,3.529,3,8.27,1.3,690.0,1450.0,0,95.7,138.4,93.0,3.5169163677287756,425.694654,615.633648,4.0,2,283.84615384615387,68.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,25.0,123.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
4,1464972945.23264,0,2,3,9.64,34.0,128.85,27.0,71.0,165.0,1.0,3.895,4,8.79,1.21,600.0,1480.0,0,87.1,131.2,93.0,3.880481179666279,387.439962,583.606464,4.0,3,366.6666666666667,71.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,34.0,0.0,165.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
5,1464972947.48274,0,2,4,11.92,43.2,126.32,27.0,72.0,176.0,2.0,3.973,5,8.97,1.24,590.0,1480.0,0,93.0,132.5,92.0,3.9582013932868905,413.68446,589.38915,4.0,4,391.1111111111111,72.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.2,0.0,0.0,176.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
6,1464972949.7328,0,2,5,14.16,52.5,123.97,26.0,74.0,186.0,2.0,4.049,6,9.29,1.3,610.0,1440.0,0,97.7,142.3,92.0,4.033233846898443,434.591094,632.981706,4.0,5,429.2307692307692,74.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,52.5,0.0,0.0,186.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
7,1464972951.86298,0,2,6,16.29,61.6,120.13,27.0,75.0,204.0,3.0,4.179,7,9.3,1.3,590.0,1440.0,0,101.6,148.2,92.0,4.162157662532257,451.939152,659.2262039999999,4.0,6,453.3333333333333,75.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,61.6,0.0,0.0,0.0,204.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
8,1464972954.11221,0,2,7,18.53,71.2,117.75,27.0,76.0,217.0,3.0,4.264,8,9.56,1.3,580.0,1470.0,0,105.1,155.4,92.0,4.246284501061571,467.507922,691.2533880000001,4.0,7,482.22222222222223,76.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,71.2,0.0,0.0,0.0,217.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
9,1464972956.45242,0,2,8,20.87,81.3,116.2,27.0,77.0,226.0,4.0,4.321,9,9.71,1.33,590.0,1460.0,0,101.5,148.2,92.0,4.3029259896729775,451.49433,659.2262039999999,4.0,8,502.22222222222223,77.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,81.3,0.0,0.0,0.0,226.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
